sweep_id,direction,side,swept_swing_level,swing_index,swing_time,swing_confirm_time,breach_time,breach_index,breach_extreme,breach_distance_atr,rejection_close_time,rejection_index,rejection_close_price,bars_breach_to_rejection,frozen_atr,session,year,segment_id
377,bearish,buy_side,1254.005000,34760,2017-06-22 02:30:00,2017-06-22 05:00:00,2017-06-22 06:00:00,34774,1254.791000,1.118861,2017-06-22 06:15:00,34775,1253.500000,1,0.702500,asian,2017,381
378,bullish,sell_side,1251.920000,34769,2017-06-22 04:45:00,2017-06-22 07:15:00,2017-06-22 08:30:00,34784,1251.250500,0.754214,2017-06-22 08:45:00,34785,1252.353500,1,0.887679,london,2017,381
379,bearish,buy_side,1258.031000,34875,2017-06-23 08:15:00,2017-06-23 10:45:00,2017-06-23 12:30:00,34892,1258.301500,0.311034,2017-06-23 13:00:00,34894,1257.670000,2,0.869679,ny_overlap,2017,382
380,bearish,buy_side,1245.719000,34991,2017-06-26 14:15:00,2017-06-26 16:45:00,2017-06-26 17:30:00,35004,1246.141500,0.347972,2017-06-26 18:00:00,35006,1245.125000,2,1.214179,off_session,2017,383
381,bullish,sell_side,1242.696500,34998,2017-06-26 16:00:00,2017-06-26 18:30:00,2017-06-26 18:45:00,35009,1242.376500,0.295671,2017-06-26 19:00:00,35010,1242.708500,1,1.082286,off_session,2017,383
382,bearish,buy_side,1253.430500,35132,2017-06-28 03:30:00,2017-06-28 06:00:00,2017-06-28 08:15:00,35151,1254.266000,0.758462,2017-06-28 08:30:00,35152,1253.268500,1,1.101571,london,2017,385
383,bearish,buy_side,1254.563500,35152,2017-06-28 08:30:00,2017-06-28 11:00:00,2017-06-28 12:30:00,35168,1254.873500,0.268722,2017-06-28 12:45:00,35169,1252.054500,1,1.153607,ny_overlap,2017,385
384,bullish,sell_side,1244.038500,35243,2017-06-29 08:15:00,2017-06-29 10:45:00,2017-06-29 11:30:00,35256,1243.513500,0.416998,2017-06-29 11:45:00,35257,1244.433000,1,1.259000,london,2017,386
385,bullish,sell_side,1243.919000,35307,2017-06-30 01:15:00,2017-06-30 03:45:00,2017-06-30 06:30:00,35328,1243.271000,0.670535,2017-06-30 06:45:00,35329,1243.991500,1,0.966393,asian,2017,387
386,bullish,sell_side,1242.053000,35333,2017-06-30 07:45:00,2017-06-30 10:15:00,2017-06-30 12:45:00,35353,1239.383500,2.210831,2017-06-30 13:15:00,35355,1242.286000,2,1.207464,ny_overlap,2017,387
387,bullish,sell_side,1219.257500,35462,2017-07-03 17:00:00,2017-07-03 19:30:00,2017-07-03 20:45:00,35477,1218.680000,0.594485,2017-07-03 21:00:00,35478,1220.090000,1,0.971429,off_session,2017,388
