zone_id,direction,zone_high,zone_low,zone_creation_time,frozen_atr,displacement_atr,bos_swing_level,fvg_present,session,year,ob_candle_time,ob_candle_open,ob_candle_high,ob_candle_low,ob_candle_close,ob_candle_index,impulse_start_time,impulse_end_time,impulse_start_index,impulse_end_index,impulse_extreme,segment_id,touched,touch_time,bars_to_touch,success,bars_to_success,baseline_count,baseline_successes,baseline_success_rate,under_matched
632,bullish,1250.725500,1248.100000,2017-05-19 09:45:00,1.346786,3.321984,1252.061500,True,london,2017,2017-05-19 08:30:00,1250.710000,1250.725500,1248.100000,1248.735000,32592,2017-05-19 08:45:00,2017-05-19 09:45:00,32593,32596,1252.574000,357,True,2017-05-19 14:00:00,18,True,2,5,4,0.800000,False
633,bullish,1254.509000,1253.340000,2017-05-19 19:15:00,1.273929,2.486011,1256.029500,False,off_session,2017,2017-05-19 18:30:00,1254.400000,1254.509000,1253.340000,1253.632000,32632,2017-05-19 18:45:00,2017-05-19 19:15:00,32633,32634,1256.507000,357,True,2017-05-22 00:15:00,17,True,1,5,5,1.000000,False
634,bullish,1259.970000,1259.187000,2017-05-23 13:45:00,1.116214,3.733154,1263.143500,True,ny_overlap,2017,2017-05-23 11:45:00,1259.640000,1259.970000,1259.187000,1259.578500,32789,2017-05-23 12:00:00,2017-05-23 13:45:00,32790,32796,1263.354000,359,True,2017-05-23 14:00:00,2,False,,4,1,0.250000,True
635,bearish,1262.579500,1261.260000,2017-05-23 14:15:00,1.379929,3.132771,1258.278000,False,ny_overlap,2017,2017-05-23 13:45:00,1261.372000,1262.579500,1261.260000,1262.123500,32797,2017-05-23 14:00:00,2017-05-23 14:15:00,32798,32798,1258.256500,359,True,2017-05-26 06:45:00,247,False,,5,0,0.000000,False
636,bullish,1252.868000,1251.574000,2017-05-24 12:45:00,0.870393,3.287596,1253.303000,True,ny_overlap,2017,2017-05-24 12:00:00,1252.553000,1252.868000,1251.574000,1251.977000,32882,2017-05-24 12:15:00,2017-05-24 12:45:00,32883,32884,1254.435500,360,True,2017-05-24 12:45:00,1,True,19,4,1,0.250000,True
637,bullish,1253.663000,1252.973500,2017-05-24 18:15:00,1.582714,3.443452,1254.435500,False,off_session,2017,2017-05-24 17:15:00,1253.656500,1253.663000,1252.973500,1253.495000,32903,2017-05-24 17:30:00,2017-05-24 18:15:00,32904,32906,1258.423500,360,True,2017-05-24 18:15:00,1,True,1,5,5,1.000000,False
638,bearish,1257.847000,1256.650500,2017-05-25 10:45:00,0.900429,2.320006,1256.423500,True,london,2017,2017-05-25 09:30:00,1257.550000,1257.847000,1256.650500,1257.744000,32964,2017-05-25 09:45:00,2017-05-25 10:45:00,32965,32968,1255.758000,361,True,2017-05-25 10:45:00,1,True,7,5,5,1.000000,False
639,bullish,1265.783500,1264.749500,2017-05-26 17:30:00,1.196679,3.493001,1268.210500,True,off_session,2017,2017-05-26 16:15:00,1265.728000,1265.783500,1264.749500,1265.565000,33083,2017-05-26 16:30:00,2017-05-26 17:30:00,33084,33087,1268.929500,362,True,2017-05-29 04:15:00,40,True,9,1,0,0.000000,True
640,bearish,1267.236500,1266.595000,2017-05-29 13:45:00,0.561929,3.719334,1265.478000,False,ny_overlap,2017,2017-05-29 13:00:00,1266.611000,1267.236500,1266.595000,1267.188000,33162,2017-05-29 13:15:00,2017-05-29 13:45:00,33163,33164,1265.146500,363,True,2017-05-29 14:00:00,2,False,,5,5,1.000000,False
641,bearish,1263.533500,1262.871000,2017-05-30 12:30:00,1.193179,2.979437,1261.838500,False,ny_overlap,2017,2017-05-30 11:30:00,1262.875000,1263.533500,1262.871000,1263.296500,33233,2017-05-30 11:45:00,2017-05-30 12:30:00,33234,33236,1259.978500,364,True,2017-05-30 13:00:00,3,False,,5,0,0.000000,False
642,bearish,1269.056500,1268.569500,2017-06-01 05:15:00,0.745821,4.042523,1266.571500,True,asian,2017,2017-06-01 04:15:00,1268.579500,1269.056500,1268.569500,1269.051500,33388,2017-06-01 04:30:00,2017-06-01 05:15:00,33389,33391,1266.041500,366,True,2017-06-01 19:15:00,57,True,1,5,1,0.200000,False
643,bearish,1267.852000,1266.409500,2017-06-01 12:30:00,1.162393,5.387593,1265.871000,False,ny_overlap,2017,2017-06-01 12:00:00,1266.786500,1267.852000,1266.409500,1266.920000,33419,2017-06-01 12:15:00,2017-06-01 12:30:00,33420,33420,1261.589500,366,True,2017-06-01 17:15:00,20,False,,5,5,1.000000,False
644,bullish,1264.195500,1263.322000,2017-06-01 17:30:00,1.346429,3.575756,1267.852000,True,off_session,2017,2017-06-01 16:30:00,1263.701500,1264.195500,1263.322000,1263.342000,33437,2017-06-01 16:45:00,2017-06-01 17:30:00,33438,33440,1268.136500,366,True,2017-06-02 00:00:00,23,False,,5,5,1.000000,False
645,bullish,1278.857000,1277.846500,2017-06-02 21:00:00,0.848214,2.085558,1279.160000,False,off_session,2017,2017-06-02 19:45:00,1278.656500,1278.857000,1277.846500,1278.154500,33542,2017-06-02 20:00:00,2017-06-02 21:00:00,33543,33546,1279.615500,367,True,2017-06-04 22:00:00,1,True,1,5,5,1.000000,False
646,bullish,1281.235000,1280.216000,2017-06-05 12:15:00,0.873000,3.553265,1282.093500,True,ny_overlap,2017,2017-06-05 11:15:00,1280.438500,1281.235000,1280.216000,1280.421500,33600,2017-06-05 11:30:00,2017-06-05 12:15:00,33601,33603,1283.318000,368,True,2017-06-05 12:45:00,3,False,,4,1,0.250000,True
647,bearish,1281.535000,1280.551500,2017-06-05 16:00:00,1.167214,2.820390,1279.491500,False,ny_overlap,2017,2017-06-05 14:45:00,1280.864000,1281.535000,1280.551500,1281.121500,33614,2017-06-05 15:00:00,2017-06-05 16:00:00,33615,33618,1278.243000,368,True,2017-06-05 17:15:00,6,True,4,5,0,0.000000,False
648,bullish,1284.808500,1284.585000,2017-06-06 05:30:00,0.616286,2.810385,1285.131000,False,asian,2017,2017-06-06 05:00:00,1284.661500,1284.808500,1284.585000,1284.590000,33667,2017-06-06 05:15:00,2017-06-06 05:30:00,33668,33668,1286.317000,369,True,2017-06-07 18:00:00,143,True,2,5,4,0.800000,False
649,bearish,1292.113500,1291.312000,2017-06-07 10:45:00,1.128036,3.550420,1290.963000,False,london,2017,2017-06-07 10:15:00,1291.376000,1292.113500,1291.312000,1291.739000,33780,2017-06-07 10:30:00,2017-06-07 10:45:00,33781,33781,1288.108500,370,True,2017-06-07 12:15:00,7,True,3,5,2,0.400000,False
650,bullish,1291.739000,1289.530000,2017-06-07 14:45:00,1.461786,3.300757,1293.741000,True,ny_overlap,2017,2017-06-07 13:00:00,1291.390000,1291.739000,1289.530000,1289.743500,33791,2017-06-07 13:15:00,2017-06-07 14:45:00,33792,33797,1294.355000,370,True,2017-06-07 15:30:00,4,False,,5,5,1.000000,False
651,bearish,1290.975000,1290.344500,2017-06-07 18:00:00,1.726536,2.558013,1287.938500,True,off_session,2017,2017-06-07 17:00:00,1290.915000,1290.975000,1290.344500,1290.936500,33807,2017-06-07 17:15:00,2017-06-07 18:00:00,33808,33810,1286.558500,370,True,2017-08-11 12:30:00,4288,True,1,5,1,0.200000,False
652,bullish,1284.833500,1284.185000,2017-06-08 05:45:00,1.014714,3.653245,1287.296500,True,asian,2017,2017-06-08 04:30:00,1284.818500,1284.833500,1284.185000,1284.633500,33849,2017-06-08 04:45:00,2017-06-08 05:45:00,33850,33853,1287.892000,371,True,2017-06-08 08:30:00,12,False,,0,0,,True
