breaker_id,source_ob_id,source_ob_direction,flipped_direction,zone_high,zone_low,ob_creation_time,break_candle_time,break_candle_index,break_close_price,frozen_atr,displacement_atr,separation_confirm_time,separation_confirm_index,retest_time,retest_index,expired,valid_retest,bars_ob_creation_to_break,bars_break_to_separation,bars_break_to_retest,session,year,segment_id
38,112,bearish,bullish,1219.435000,1218.900500,2016-04-04 06:45:00,2016-04-04 12:30:00,5915,1220.126000,1.187893,3.972580,2016-04-04 12:45:00,5916,2016-04-04 13:45:00,5920,False,True,23,1,5,ny_overlap,2016,64
39,113,bullish,bearish,1217.654000,1216.395500,2016-04-04 12:00:00,2016-04-04 19:45:00,5944,1215.321000,1.389179,2.745147,2016-04-04 20:00:00,5945,,,True,False,31,1,,off_session,2016,64
40,116,bullish,bearish,1232.264000,1231.260000,2016-04-05 12:45:00,2016-04-05 14:15:00,6014,1228.261000,1.599821,3.512580,2016-04-05 14:30:00,6015,2016-04-05 16:00:00,6021,False,True,6,1,7,ny_overlap,2016,65
41,117,bearish,bullish,1229.710500,1228.290500,2016-04-05 17:45:00,2016-04-05 20:30:00,6039,1230.680000,1.812036,2.215464,2016-04-05 20:45:00,6040,,,True,False,11,1,,off_session,2016,65
42,122,bearish,bullish,1236.324000,1235.003500,2016-04-08 10:15:00,2016-04-08 13:45:00,6288,1238.205000,2.421107,2.758862,2016-04-08 14:00:00,6289,,,True,False,14,1,,ny_overlap,2016,68
43,128,bearish,bullish,1230.948500,1229.838500,2016-04-15 13:15:00,2016-04-15 15:45:00,6756,1233.254500,1.821071,2.186899,2016-04-15 16:00:00,6757,,,True,False,10,1,,ny_overlap,2016,73
44,130,bearish,bullish,1235.839000,1234.899000,2016-04-18 06:45:00,2016-04-18 09:45:00,6824,1237.289500,1.209250,2.334918,2016-04-18 10:00:00,6825,2016-04-18 14:00:00,6841,False,True,12,1,17,london,2016,74
45,132,bullish,bearish,1249.304500,1248.118500,2016-04-20 12:30:00,2016-04-20 19:15:00,7046,1245.701500,1.524679,2.011244,2016-04-20 19:30:00,7047,,,True,False,27,1,,off_session,2016,76
46,136,bearish,bullish,1236.174500,1234.889000,2016-04-25 09:15:00,2016-04-25 13:45:00,7300,1238.280500,1.685179,2.521988,2016-04-25 14:00:00,7301,,,True,False,18,1,,ny_overlap,2016,79
47,138,bearish,bullish,1235.240000,1234.500000,2016-04-26 11:00:00,2016-04-26 13:15:00,7390,1238.880000,1.184929,2.587498,2016-04-26 13:30:00,7391,,,True,False,9,1,,ny_overlap,2016,80
48,141,bullish,bearish,1246.380000,1245.486000,2016-04-27 12:15:00,2016-04-27 15:00:00,7489,1244.660000,1.085429,2.661621,2016-04-27 19:30:00,7507,2016-04-27 20:00:00,7509,False,True,11,18,20,ny_overlap,2016,81
49,149,bullish,bearish,1291.263500,1289.359500,2016-05-03 07:00:00,2016-05-03 14:30:00,7855,1287.173500,1.987071,5.234588,2016-05-03 14:45:00,7856,2016-05-03 17:15:00,7866,False,True,30,1,11,ny_overlap,2016,85
50,151,bearish,bullish,1282.765000,1280.993500,2016-05-04 09:45:00,2016-05-04 12:30:00,7939,1288.350000,2.100250,3.002262,2016-05-04 12:45:00,7940,2016-05-04 14:15:00,7946,False,True,11,1,7,ny_overlap,2016,86
51,152,bullish,bearish,1279.176500,1276.398000,2016-05-04 12:30:00,2016-05-04 17:15:00,7958,1273.735000,2.839214,4.636142,2016-05-04 17:30:00,7959,2016-05-04 18:45:00,7964,False,True,19,1,6,off_session,2016,86
52,154,bearish,bullish,1280.005000,1278.401000,2016-05-05 08:00:00,2016-05-05 12:00:00,8029,1282.076500,1.748143,2.144562,2016-05-05 12:15:00,8030,2016-05-05 14:15:00,8038,False,True,16,1,9,ny_overlap,2016,87
53,155,bullish,bearish,1279.250500,1277.093500,2016-05-05 12:15:00,2016-05-05 14:45:00,8040,1275.991500,1.906000,3.723242,2016-05-05 15:45:00,8044,2016-05-05 19:30:00,8059,False,True,10,4,19,ny_overlap,2016,87
54,161,bullish,bearish,1264.370000,1263.720000,2016-05-10 05:45:00,2016-05-10 13:15:00,8310,1262.434500,1.212643,2.325499,2016-05-10 14:45:00,8316,2016-05-10 17:30:00,8327,False,True,30,6,17,ny_overlap,2016,90
55,162,bearish,bullish,1264.195500,1261.990000,2016-05-10 14:30:00,2016-05-10 17:45:00,8328,1265.863500,2.686071,2.691849,2016-05-10 18:00:00,8329,,,True,False,13,1,,off_session,2016,90
56,165,bearish,bullish,1274.940000,1273.394000,2016-05-11 16:45:00,2016-05-11 18:15:00,8422,1276.115000,2.269714,2.039904,2016-05-11 18:30:00,8423,,,True,False,6,1,,off_session,2016,91
57,167,bullish,bearish,1277.875000,1276.886000,2016-05-16 06:15:00,2016-05-16 14:45:00,8684,1275.640000,1.074607,3.252351,2016-05-16 15:00:00,8685,,,True,False,34,1,,ny_overlap,2016,94
58,168,bullish,bearish,1282.346500,1281.025000,2016-05-16 12:30:00,2016-05-16 14:30:00,8683,1280.444500,1.119750,3.539183,2016-05-16 14:45:00,8684,,,True,False,8,1,,ny_overlap,2016,94
59,175,bullish,bearish,1256.771000,1254.900500,2016-05-20 13:00:00,2016-05-20 14:00:00,9049,1254.054500,1.395571,2.832890,2016-05-20 14:15:00,9050,,,True,False,4,1,,ny_overlap,2016,98
60,180,bearish,bullish,1222.439500,1220.776000,2016-05-25 13:45:00,2016-05-25 15:30:00,9331,1223.723500,1.664786,2.707556,2016-05-25 15:45:00,9332,2016-05-25 16:00:00,9333,False,True,7,1,2,ny_overlap,2016,101
61,181,bearish,bullish,1229.845500,1228.978500,2016-05-26 12:30:00,2016-05-26 13:15:00,9414,1230.904000,1.241357,3.541688,2016-05-26 13:30:00,9415,2016-05-26 13:45:00,9416,False,True,3,1,2,ny_overlap,2016,102
62,183,bearish,bullish,1204.376500,1202.139500,2016-05-30 06:15:00,2016-05-30 09:15:00,9582,1205.669500,1.599643,2.835633,2016-05-30 09:30:00,9583,,,True,False,12,1,,london,2016,104
