WYCKOFF_RSI_ENTRY_RR_MATRIX_CONTEXT
tick_file=data/2026.6.15XAUUSD-TICK-No Session.csv
bars=246886
date_range=2016-01-03 23:00:00 to 2026-06-15 00:00:00 UTC
compression_events_total=2800
wyckoff_covered_events=916
approach_a=enter immediately at compression-end close in signal direction
approach_b=enter broken range edge in breakout direction only when signal agrees
approach_a_simple_follow=oracle eventual breakout direction, included only as requested comparator
spread_usd_oz=0.20
fill_rule=TP limit at target; SL at adverse OHLC extreme; if same bar can hit both, stop first
approach_b_intrabar_note=edge entry uses next bar for TP/SL evaluation because breakout-bar tick order is unavailable
train_period=2016-01-03 through 2021-12-31; test_period=2022-01-01 through 2026-06-15

MATRIX_ALL
period,approach,stop,rr,horizon,signal,n,direction_correct,win_rate,breakeven_win_rate,win_minus_breakeven,net_expectancy_r,ci_low,ci_high,unresolved_pct,target_count,stop_count,force_count,avg_risk_usd_oz,avg_spread_r,ci_clears_zero
all,B_breakout_edge_filter,fixed_10,1,20,simple_follow,916,100.00%,60.81%,51.00%,9.81%,0.106154,0.052528,0.159780,53.17%,282,147,487,10.000000,0.020000,True
all,B_breakout_edge_filter,fixed_10,2,10,wyckoff_rsi,642,100.00%,56.39%,34.00%,22.39%,0.067830,0.002620,0.133039,82.55%,40,72,530,10.000000,0.020000,True
all,B_breakout_edge_filter,fixed_10,2,10,coin_flip,449,100.00%,54.57%,34.00%,20.57%,0.054270,-0.026588,0.135129,83.74%,23,50,376,10.000000,0.020000,False
all,B_breakout_edge_filter,fixed_10,2,10,prior_momentum,526,100.00%,56.65%,34.00%,22.65%,0.077038,0.005967,0.148110,82.32%,34,59,433,10.000000,0.020000,True
all,B_breakout_edge_filter,fixed_10,2,10,simple_follow,916,100.00%,56.88%,34.00%,22.88%,0.093213,0.036860,0.149567,81.99%,65,100,751,10.000000,0.020000,True
all,B_breakout_edge_filter,fixed_10,2,20,wyckoff_rsi,642,100.00%,55.76%,34.00%,21.76%,0.074467,-0.004090,0.153023,70.09%,65,127,450,10.000000,0.020000,False
all,B_breakout_edge_filter,fixed_10,2,20,coin_flip,449,100.00%,57.24%,34.00%,23.24%,0.077616,-0.020677,0.175909,69.93%,49,86,314,10.000000,0.020000,False
all,B_breakout_edge_filter,fixed_10,2,20,prior_momentum,526,100.00%,53.80%,34.00%,19.80%,0.059455,-0.027500,0.146410,68.82%,57,107,362,10.000000,0.020000,False
all,B_breakout_edge_filter,fixed_10,2,20,simple_follow,916,100.00%,55.68%,34.00%,21.68%,0.086025,0.018733,0.153316,69.21%,102,180,634,10.000000,0.020000,True
all,B_breakout_edge_filter,atr_1x,1,10,wyckoff_rsi,642,100.00%,72.43%,56.41%,16.02%,0.169388,0.074867,0.263910,1.09%,461,174,7,2.764875,0.128136,True
all,B_breakout_edge_filter,atr_1x,1,10,coin_flip,449,100.00%,73.72%,56.31%,17.40%,0.221404,0.112569,0.330239,1.11%,329,115,5,2.970774,0.126297,True
all,B_breakout_edge_filter,atr_1x,1,10,prior_momentum,526,100.00%,73.00%,56.23%,16.77%,0.188460,0.084190,0.292729,1.71%,379,138,9,2.967637,0.124668,True
all,B_breakout_edge_filter,atr_1x,1,10,simple_follow,916,100.00%,73.91%,56.20%,17.71%,0.213310,0.136178,0.290442,1.20%,671,234,11,2.885412,0.123916,True
all,B_breakout_edge_filter,atr_1x,1,20,wyckoff_rsi,642,100.00%,72.74%,56.41%,16.33%,0.176325,0.081745,0.270905,0.47%,465,174,3,2.764875,0.128136,True
all,B_breakout_edge_filter,atr_1x,1,20,coin_flip,449,100.00%,73.94%,56.31%,17.63%,0.218700,0.109434,0.327967,0.89%,329,116,4,2.970774,0.126297,True
