ATR_LOOKAHEAD_FIX_CONTEXT
before_breakout_atr=old look-ahead mode: risk from breakout bar ATR14
after_compression_atr=correct live-matched mode: risk from compression-end bar ATR14
entry=range edge; stop=1R; targets=1/1.5/2R; force close=10/20 bars
symbol_context=XAUUSD,tick_file=data/2026.6.15XAUUSD-TICK-No Session.csv,bars=246886,date_range=2016-01-03 23:00:00 to 2026-06-15 00:00:00 UTC,compression_events=2858,spread=0.2000
symbol_context=XAGUSD,tick_file=data/2026.6.28XAGUSD-TICK-No Session.csv,bars=247673,date_range=2016-01-03 23:00:00 to 2026-06-26 21:00:00 UTC,compression_events=2687,spread=0.0200

ATR_LOOKAHEAD_ALL
period,symbol,atr_mode,exit,horizon,signal,n,gross_mean,gross_ci_low,gross_ci_high,net_mean,net_ci_low,net_ci_high,win_rate,unresolved_pct,false_breakout_pct,avg_risk,avg_spread_r,beats_random_gross,beats_random_net,gross_class,net_class,target_count,stop_count,force_count
all,XAUUSD,before_breakout_atr,rr_2,10,random,2833,-0.459946,-0.531596,-0.388297,-0.609591,-0.681375,-0.537808,35.55%,6.14%,1.55%,2.311697,0.149645,False,False,baseline,baseline,889,1770,174
all,XAUUSD,before_breakout_atr,rr_2,20,simple_follow,2833,0.329737,0.261868,0.397607,0.180092,0.112257,0.247927,53.09%,2.19%,1.55%,2.311697,0.149645,True,True,C_confirmed,C_confirmed,1470,1301,62
all,XAUUSD,before_breakout_atr,rr_2,20,random,2833,-0.487927,-0.561168,-0.414685,-0.637572,-0.710924,-0.564219,34.35%,1.98%,1.55%,2.311697,0.149645,False,False,baseline,baseline,940,1837,56
all,XAUUSD,after_compression_atr,rr_1,10,simple_follow,2833,0.343086,0.296436,0.389735,0.168282,0.121527,0.215038,74.59%,1.09%,1.55%,1.984078,0.174803,True,True,C_confirmed,C_confirmed,2104,698,31
all,XAUUSD,after_compression_atr,rr_1,10,random,2833,-0.570548,-0.639357,-0.501739,-0.745352,-0.814435,-0.676268,48.43%,1.09%,1.55%,1.984078,0.174803,False,False,baseline,baseline,1361,1441,31
all,XAUUSD,after_compression_atr,rr_1,20,simple_follow,2833,0.342465,0.295799,0.389131,0.167661,0.120892,0.214431,74.59%,1.02%,1.55%,1.984078,0.174803,True,True,C_confirmed,C_confirmed,2104,700,29
all,XAUUSD,after_compression_atr,rr_1,20,random,2833,-0.570484,-0.639301,-0.501667,-0.745288,-0.814379,-0.676196,48.43%,1.02%,1.55%,1.984078,0.174803,False,False,baseline,baseline,1362,1442,29
all,XAUUSD,after_compression_atr,rr_1_5,10,simple_follow,2833,0.397799,0.338770,0.456827,0.222995,0.163883,0.282107,64.42%,1.94%,1.55%,1.984078,0.174803,True,True,C_confirmed,C_confirmed,1800,978,55
all,XAUUSD,after_compression_atr,rr_1_5,10,random,2833,-0.564220,-0.639353,-0.489087,-0.739023,-0.814394,-0.663652,41.02%,1.80%,1.55%,1.984078,0.174803,False,False,baseline,baseline,1140,1642,51
all,XAUUSD,after_compression_atr,rr_1_5,20,simple_follow,2833,0.392618,0.333361,0.451874,0.217814,0.158492,0.277136,64.21%,1.20%,1.55%,1.984078,0.174803,True,True,C_confirmed,C_confirmed,1806,993,34
all,XAUUSD,after_compression_atr,rr_1_5,20,random,2833,-0.567954,-0.643196,-0.492712,-0.742757,-0.818229,-0.667286,40.95%,1.20%,1.55%,1.984078,0.174803,False,False,baseline,baseline,1146,1653,34
all,XAUUSD,after_compression_atr,rr_2,10,simple_follow,2833,0.444828,0.375717,0.513938,0.270025,0.200930,0.339119,57.29%,4.41%,1.55%,1.984078,0.174803,True,True,C_confirmed,C_confirmed,1545,1163,125
all,XAUUSD,after_compression_atr,rr_2,10,random,2833,-0.565084,-0.645785,-0.484383,-0.739887,-0.820786,-0.658989,35.86%,3.53%,1.55%,1.984078,0.174803,False,False,baseline,baseline,956,1777,100
all,XAUUSD,after_compression_atr,rr_2,20,simple_follow,2833,0.422187,0.351337,0.493038,0.247384,0.176583,0.318185,56.48%,1.69%,1.55%,1.984078,0.174803,True,True,C_confirmed,C_confirmed,1577,1208,48
all,XAUUSD,after_compression_atr,rr_2,20,random,2833,-0.584063,-0.665945,-0.502181,-0.758866,-0.840938,-0.676795,35.37%,1.52%,1.55%,1.984078,0.174803,False,False,baseline,baseline,982,1808,43

ATR_LOOKAHEAD_TRAIN_2016_2021
period,symbol,atr_mode,exit,horizon,signal,n,gross_mean,gross_ci_low,gross_ci_high,net_mean,net_ci_low,net_ci_high,win_rate,unresolved_pct,false_breakout_pct,avg_risk,avg_spread_r,beats_random_gross,beats_random_net,gross_class,net_class,target_count,stop_count,force_count
train_2016_2021,XAGUSD,before_breakout_atr,rr_1,10,simple_follow,1576,0.281286,0.222679,0.339893,-0.544123,-0.606406,-0.481839,48.86%,1.02%,1.59%,0.034099,0.825409,True,True,C_confirmed,A_absent,1118,442,16
train_2016_2021,XAGUSD,before_breakout_atr,rr_1,10,random,1576,-0.441436,-0.520540,-0.362331,-1.266844,-1.349227,-1.184461,34.58%,1.02%,1.59%,0.034099,0.825409,False,False,baseline,baseline,770,790,16
train_2016_2021,XAGUSD,before_breakout_atr,rr_1,20,simple_follow,1576,0.280956,0.222284,0.339627,-0.544453,-0.606765,-0.482141,48.92%,0.82%,1.59%,0.034099,0.825409,True,True,C_confirmed,A_absent,1119,444,13
train_2016_2021,XAGUSD,before_breakout_atr,rr_1,20,random,1576,-0.443080,-0.522207,-0.363953,-1.268489,-1.350875,-1.186102,34.64%,0.82%,1.59%,0.034099,0.825409,False,False,baseline,baseline,771,792,13
train_2016_2021,XAGUSD,before_breakout_atr,rr_1_5,10,simple_follow,1576,0.279569,0.204447,0.354691,-0.545840,-0.623398,-0.468282,53.49%,3.30%,1.59%,0.034099,0.825409,True,True,C_confirmed,A_absent,912,612,52
train_2016_2021,XAGUSD,before_breakout_atr,rr_1_5,10,random,1576,-0.483935,-0.571932,-0.395937,-1.309343,-1.400353,-1.218334,36.04%,3.11%,1.59%,0.034099,0.825409,False,False,baseline,baseline,602,925,49
train_2016_2021,XAGUSD,before_breakout_atr,rr_1_5,20,simple_follow,1576,0.274407,0.198581,0.350233,-0.551001,-0.629095,-0.472908,54.06%,1.46%,1.59%,0.034099,0.825409,True,True,C_confirmed,A_absent,926,627,23
train_2016_2021,XAGUSD,before_breakout_atr,rr_1_5,20,random,1576,-0.484302,-0.572721,-0.395884,-1.309711,-1.401086,-1.218336,36.55%,1.46%,1.59%,0.034099,0.825409,False,False,baseline,baseline,619,934,23
train_2016_2021,XAGUSD,before_breakout_atr,rr_2,10,simple_follow,1576,0.269595,0.181862,0.357329,-0.555813,-0.645324,-0.466303,48.98%,6.73%,1.59%,0.034099,0.825409,True,True,C_confirmed,A_absent,749,721,106
train_2016_2021,XAGUSD,before_breakout_atr,rr_2,10,random,1576,-0.514055,-0.609845,-0.418264,-1.339463,-1.437680,-1.241246,32.61%,5.84%,1.59%,0.034099,0.825409,False,False,baseline,baseline,481,1003,92
train_2016_2021,XAGUSD,before_breakout_atr,rr_2,20,simple_follow,1576,0.250517,0.160995,0.340039,-0.574891,-0.666008,-0.483775,49.62%,2.09%,1.59%,0.034099,0.825409,True,True,C_confirmed,A_absent,781,762,33
train_2016_2021,XAGUSD,before_breakout_atr,rr_2,20,random,1576,-0.525888,-0.622937,-0.428839,-1.351297,-1.450737,-1.251856,32.99%,1.97%,1.59%,0.034099,0.825409,False,False,baseline,baseline,513,1032,31
train_2016_2021,XAGUSD,after_compression_atr,rr_1,10,simple_follow,1576,0.249907,0.187432,0.312382,-0.727213,-0.793287,-0.661138,37.88%,0.70%,1.59%,0.028381,0.977119,True,True,C_confirmed,A_absent,1120,445,11
train_2016_2021,XAGUSD,after_compression_atr,rr_1,10,random,1576,-0.617506,-0.707703,-0.527309,-1.594625,-1.688641,-1.500610,27.16%,0.70%,1.59%,0.028381,0.977119,False,False,baseline,baseline,747,818,11
train_2016_2021,XAGUSD,after_compression_atr,rr_1,20,simple_follow,1576,0.249907,0.187432,0.312382,-0.727213,-0.793287,-0.661138,37.88%,0.70%,1.59%,0.028381,0.977119,True,True,C_confirmed,A_absent,1120,445,11
train_2016_2021,XAGUSD,after_compression_atr,rr_1,20,random,1576,-0.617506,-0.707703,-0.527309,-1.594625,-1.688641,-1.500610,27.16%,0.70%,1.59%,0.028381,0.977119,False,False,baseline,baseline,747,818,11
train_2016_2021,XAGUSD,after_compression_atr,rr_1_5,10,simple_follow,1576,0.347974,0.270222,0.425726,-0.629145,-0.709034,-0.549257,51.02%,1.52%,1.59%,0.028381,0.977119,True,True,C_confirmed,A_absent,982,570,24
train_2016_2021,XAGUSD,after_compression_atr,rr_1_5,10,random,1576,-0.590799,-0.689731,-0.491867,-1.567918,-1.669985,-1.465852,33.50%,1.40%,1.59%,0.028381,0.977119,False,False,baseline,baseline,634,920,22
train_2016_2021,XAGUSD,after_compression_atr,rr_1_5,20,simple_follow,1576,0.346491,0.268594,0.424387,-0.630629,-0.710572,-0.550686,51.08%,1.14%,1.59%,0.028381,0.977119,True,True,C_confirmed,A_absent,984,574,18
train_2016_2021,XAGUSD,after_compression_atr,rr_1_5,20,random,1576,-0.593454,-0.692425,-0.494484,-1.570574,-1.672657,-1.468491,33.57%,1.08%,1.59%,0.028381,0.977119,False,False,baseline,baseline,635,924,17
train_2016_2021,XAGUSD,after_compression_atr,rr_2,10,simple_follow,1576,0.364352,0.272984,0.455721,-0.612767,-0.706092,-0.519442,52.73%,3.11%,1.59%,0.028381,0.977119,True,True,C_confirmed,A_absent,837,690,49
train_2016_2021,XAGUSD,after_compression_atr,rr_2,10,random,1576,-0.604141,-0.709985,-0.498298,-1.581261,-1.690007,-1.472514,33.88%,3.11%,1.59%,0.028381,0.977119,False,False,baseline,baseline,523,1004,49
train_2016_2021,XAGUSD,after_compression_atr,rr_2,20,simple_follow,1576,0.356207,0.264078,0.448336,-0.620912,-0.714864,-0.526961,52.98%,1.33%,1.59%,0.028381,0.977119,True,True,C_confirmed,A_absent,850,705,21
train_2016_2021,XAGUSD,after_compression_atr,rr_2,20,random,1576,-0.602920,-0.709241,-0.496599,-1.580039,-1.689251,-1.470827,34.20%,1.46%,1.59%,0.028381,0.977119,False,False,baseline,baseline,539,1014,23
train_2016_2021,XAUUSD,before_breakout_atr,rr_1,10,simple_follow,1717,0.363392,0.307796,0.418988,0.175318,0.119518,0.231118,74.84%,1.22%,1.28%,1.375014,0.188074,True,True,C_confirmed,C_confirmed,1277,419,21
train_2016_2021,XAUUSD,before_breakout_atr,rr_1,10,random,1717,-0.486026,-0.566492,-0.405559,-0.674100,-0.754645,-0.593555,47.52%,1.22%,1.28%,1.375014,0.188074,False,False,baseline,baseline,812,884,21
train_2016_2021,XAUUSD,before_breakout_atr,rr_1,20,simple_follow,1717,0.365865,0.310259,0.421471,0.177791,0.121974,0.233608,74.96%,0.93%,1.28%,1.375014,0.188074,True,True,C_confirmed,C_confirmed,1282,419,16
train_2016_2021,XAUUSD,before_breakout_atr,rr_1,20,random,1717,-0.486595,-0.567113,-0.406077,-0.674669,-0.755265,-0.594073,47.64%,0.93%,1.28%,1.375014,0.188074,False,False,baseline,baseline,814,887,16
train_2016_2021,XAUUSD,before_breakout_atr,rr_1_5,10,simple_follow,1717,0.403838,0.332014,0.475661,0.215764,0.143858,0.287670,64.01%,2.68%,1.28%,1.375014,0.188074,True,True,C_confirmed,C_confirmed,1074,597,46
train_2016_2021,XAUUSD,before_breakout_atr,rr_1_5,10,random,1717,-0.482980,-0.571885,-0.394074,-0.671054,-0.760053,-0.582055,40.13%,2.56%,1.28%,1.375014,0.188074,False,False,baseline,baseline,671,1002,44
train_2016_2021,XAUUSD,before_breakout_atr,rr_1_5,20,simple_follow,1717,0.406011,0.333779,0.478243,0.217937,0.145624,0.290250,63.95%,1.28%,1.28%,1.375014,0.188074,True,True,C_confirmed,C_confirmed,1089,606,22
train_2016_2021,XAUUSD,before_breakout_atr,rr_1_5,20,random,1717,-0.485662,-0.574907,-0.396417,-0.673736,-0.763070,-0.584402,40.13%,1.28%,1.28%,1.375014,0.188074,False,False,baseline,baseline,681,1014,22
train_2016_2021,XAUUSD,before_breakout_atr,rr_2,10,simple_follow,1717,0.390485,0.304942,0.476029,0.202411,0.116891,0.287931,55.45%,6.29%,1.28%,1.375014,0.188074,True,True,C_confirmed,C_confirmed,883,726,108
train_2016_2021,XAUUSD,before_breakout_atr,rr_2,10,random,1717,-0.527564,-0.622950,-0.432178,-0.715638,-0.811076,-0.620200,33.90%,4.89%,1.28%,1.375014,0.188074,False,False,baseline,baseline,535,1098,84
train_2016_2021,XAUUSD,before_breakout_atr,rr_2,20,simple_follow,1717,0.376466,0.288800,0.464131,0.188392,0.100764,0.276019,54.57%,1.81%,1.28%,1.375014,0.188074,True,True,C_confirmed,C_confirmed,923,763,31
train_2016_2021,XAUUSD,before_breakout_atr,rr_2,20,random,1717,-0.543228,-0.639799,-0.446657,-0.731302,-0.827919,-0.634684,33.31%,1.57%,1.28%,1.375014,0.188074,False,False,baseline,baseline,561,1129,27
train_2016_2021,XAUUSD,after_compression_atr,rr_1,10,simple_follow,1717,0.361090,0.298675,0.423505,0.140376,0.077801,0.202950,75.66%,0.87%,1.28%,1.153155,0.220714,True,True,C_confirmed,C_confirmed,1295,407,15
train_2016_2021,XAUUSD,after_compression_atr,rr_1,10,random,1717,-0.644407,-0.736339,-0.552475,-0.865121,-0.957227,-0.773016,47.00%,0.87%,1.28%,1.153155,0.220714,False,False,baseline,baseline,804,898,15
train_2016_2021,XAUUSD,after_compression_atr,rr_1,20,simple_follow,1717,0.361090,0.298675,0.423505,0.140376,0.077801,0.202950,75.66%,0.87%,1.28%,1.153155,0.220714,True,True,C_confirmed,C_confirmed,1295,407,15
train_2016_2021,XAUUSD,after_compression_atr,rr_1,20,random,1717,-0.644407,-0.736339,-0.552475,-0.865121,-0.957227,-0.773016,47.00%,0.87%,1.28%,1.153155,0.220714,False,False,baseline,baseline,804,898,15
train_2016_2021,XAUUSD,after_compression_atr,rr_1_5,10,simple_follow,1717,0.417537,0.339111,0.495964,0.196823,0.118283,0.275363,65.35%,1.40%,1.28%,1.153155,0.220714,True,True,C_confirmed,C_confirmed,1113,580,24
train_2016_2021,XAUUSD,after_compression_atr,rr_1_5,10,random,1717,-0.635009,-0.734600,-0.535417,-0.855723,-0.955458,-0.755988,39.72%,1.40%,1.28%,1.153155,0.220714,False,False,baseline,baseline,677,1016,24
